id,contact,contactName,desc,date,dueDate,multipledueDate,forecastDate,notes,tags,products,tax,subtotal,discount,total,language,status,customFields,docNumber,currency,currencyChange,paymentsDetail,paymentsTotal,paymentsPending,paymentsRefunds,multipledueDate.date,multipledueDate.amount,from.id,from.docType
688354cba9cc8e731f08eb95,66a0df36402cde9dc801b668,Slack Technologies Limited (Slack Technologies Limited),Fra. SBIE-9184465 Slack Technologies Limited,2025-07-24 22:00:00,,[],,,"['opex', 'tech', 'tool']","[{'name': 'Fra. SBIE-9184465 Slack Technologies Limited', 'desc': 'Fra. SBIE-9184465 Slack Technologies Limited', 'price': 63.53, 'units': 1, 'projectid': None, 'tax': -21, 'taxes': ['p_iva_adqintrab_21'], 'tags': ['opex', 'tech', 'tool'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '6694dc01140acf9e000425c2'}]",0.0,63.53,0,63.53,es,1,[],SBIE-9184465,eur,1.0,"[{'id': '688375402f5c9baf800ce037', 'amount': 63.53, 'date': 1753401600, 'bankId': '6697ee29ecc2d0d7aa0e0db4'}]",63.53,0.0,0,,,,
6881f560307352111a09d392,672ca6594cc0add3080b6460,Kaspr SAS (Kaspr SAS),Fra. 257FA40F-0011 Kaspr SAS,2025-07-22 22:00:00,,[],,,"['cogs', 'tech', 'tool']","[{'name': 'Fra. 257FA40F-0011 Kaspr SAS', 'desc': 'Fra. 257FA40F-0011 Kaspr SAS', 'price': 87.5, 'units': 1, 'projectid': None, 'tax': -21, 'taxes': ['p_iva_adqintrab_21'], 'tags': ['cogs', 'tech', 'tool'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '6694dc01140acf9e000425c2'}]",0.0,87.5,0,87.5,es,1,[],257FA40F-0011,eur,1.0,"[{'id': '68837548f95ef653730b4b50', 'amount': 87.5, 'date': 1753228800, 'bankId': '6697ee29ecc2d0d7aa0e0db4'}]",87.5,0.0,0,,,,
6883300a695012910f063701,66a0ed046628d94867097eb6,"Oficina Técnico Empresarial, S.A. (Oficina Técnico Empresarial, S.A.)","Fra. #F2501553 Oficina Técnico Empresarial, S.A.",2025-07-22 22:00:00,,[],,,"['fin', 'opex', 'vendor']","[{'name': 'Fra. #F2501553 Oficina Técnico Empresarial, S.A.', 'desc': 'Fra. #F2501553 Oficina Técnico Empresarial, S.A.', 'price': 850, 'units': 1, 'projectid': None, 'tax': 21, 'taxes': ['p_iva_21'], 'tags': ['fin', 'opex', 'vendor'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '668572b91ef7394b7a07f1d9'}]",178.5,850.0,0,1028.5,es,0,[],#F2501553,eur,1.0,,0.0,1028.5,0,,,,
687fa31496f9c9f27709c60f,680903dad03f6ba5d90735ce,ChartMogul GmbH & Co. KG (ChartMogul GmbH & Co. KG),Fra. 106641 ChartMogul GmbH & Co. KG,2025-07-21 22:00:00,,[],,,"['opex', 'ops', 'tool']","[{'name': 'Fra. 106641 ChartMogul GmbH & Co. KG', 'desc': 'Fra. 106641 ChartMogul GmbH & Co. KG', 'price': 101.78307995815494, 'units': 1, 'projectid': None, 'tax': -21, 'taxes': ['p_iva_adqintras_21'], 'tags': ['opex', 'ops', 'tool'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '6694dc01140acf9e000425c2'}]",0.0,101.78,0,101.78,,1,[],106641,usd,1.169153066,"[{'id': '68837630d27719cf1d0c8503', 'amount': 101.78, 'date': 1753142400, 'bankId': '6697ee29ecc2d0d7aa0e0db5'}]",101.78,0.0,0,,,,
687e142d6c6342acad0862d7,66a0ed046628d94867097eb6,"Oficina Técnico Empresarial, S.A. (Oficina Técnico Empresarial, S.A.)","Fra. #F2501407 Oficina Técnico Empresarial, S.A.",2025-07-20 22:00:00,,[],,,"['fin', 'opex', 'vendor']","[{'name': 'Fra. #F2501407 Oficina Técnico Empresarial, S.A.', 'desc': 'Fra. #F2501407 Oficina Técnico Empresarial, S.A.', 'price': 256, 'units': 1, 'projectid': None, 'tax': 21, 'taxes': ['p_iva_21'], 'tags': ['fin', 'opex', 'vendor'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '668572b91ef7394b7a07f1d9'}]",53.76,256.0,0,309.76,es,0,[],#F2501407,eur,1.0,,0.0,309.76,0,,,,
687e383f30f407b34502376c,66a0e85b1951a0a871019577,"SerpApi, LLC (SerpApi, LLC)","Fra. 1CD72209-0026 SerpApi, LLC",2025-07-20 22:00:00,,[],,,"['cogs', 'tech', 'tool']","[{'name': 'Fra. 1CD72209-0026 SerpApi, LLC', 'desc': 'Fra. 1CD72209-0026 SerpApi, LLC', 'price': 64.49400001740823, 'units': 1, 'projectid': None, 'tax': -21, 'taxes': ['p_iva_invsuj'], 'tags': ['cogs', 'tech', 'tool'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '6694dc01140acf9e000425c2'}]",0.0,64.49,0,64.49,,1,[],1CD72209-0026,usd,1.162898874,"[{'id': '68837633b86813c24800bc36', 'amount': 64.49, 'date': 1753056000, 'bankId': '6697ee29ecc2d0d7aa0e0db5'}]",64.49,0.0,0,,,,
68808aa5210b757d4a09fd4b,67a4a4aed4061768c803dcf5,Zapier Inc. (Zapier Inc.),Fra. 21072025 Zapier Inc.,2025-07-20 22:00:00,,[],,,"['opex', 'ops', 'tool']","[{'name': 'Fra. 21072025 Zapier Inc.', 'desc': 'Fra. 21072025 Zapier Inc.', 'price': 52.36, 'units': 1, 'projectid': None, 'tax': -21, 'taxes': ['p_iva_invsuj'], 'tags': ['opex', 'ops', 'tool'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '6694dc01140acf9e000425c2'}]",0.0,52.36,0,52.36,es,1,[],21072025,eur,1.0,"[{'id': '6883754add503593b400ed74', 'amount': 52.36, 'date': 1753056000, 'bankId': '6697ee29ecc2d0d7aa0e0db4'}]",52.36,0.0,0,,,,
687df3a1bbc946d8be0575ff,67be15a371730ffc8e081860,ZenLeads Inc. (ZenLeads Inc.),Fra. 024C0FA6-0012 ZenLeads Inc.,2025-07-19 22:00:00,,[],,,"['cogs', 'tech', 'tool']","[{'name': 'Fra. 024C0FA6-0012 ZenLeads Inc.', 'desc': 'Fra. 024C0FA6-0012 ZenLeads Inc.', 'price': 10.319040002785316, 'units': 1, 'projectid': None, 'tax': -21, 'taxes': ['p_iva_invsuj'], 'tags': ['cogs', 'tech', 'tool'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '6694dc01140acf9e000425c2'}]",0.0,10.32,0,10.32,,1,[],024C0FA6-0012,usd,1.162898874,"[{'id': '68837637ae9fdb433507c1fe', 'amount': 10.32, 'date': 1752969600, 'bankId': '6697ee29ecc2d0d7aa0e0db5'}]",10.32,0.0,0,,,,
687e14b842c64e61cc0a5893,681b2ed09ab92f1e720fbdbe,Lovable Labs Incorporated (Lovable Labs Incorporated),Fra. 9E97B890-0004 Lovable Labs Incorporated,2025-07-19 22:00:00,,[],,,"['cogs', 'tech', 'tool']","[{'name': 'Fra. 9E97B890-0004 Lovable Labs Incorporated', 'desc': 'Fra. 9E97B890-0004 Lovable Labs Incorporated', 'price': 21.49800000580274, 'units': 1, 'projectid': None, 'tax': -21, 'taxes': ['p_iva_invsuj'], 'tags': ['cogs', 'tech', 'tool'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '6694dc01140acf9e000425c2'}]",0.0,21.5,0,21.5,,1,[],9E97B890-0004,usd,1.162898874,"[{'id': '68837634917bf4f252067619', 'amount': 21.5, 'date': 1752969600, 'bankId': '6697ee29ecc2d0d7aa0e0db5'}]",21.5,0.0,0,,,,
6879f53ccec1deb67c0d38d3,67ae52d039bbf51a6108472b,Cognism Ltd (Cognism Ltd),Fra. INV-149685 Cognism Ltd,2025-07-16 22:00:00,,[],,,"['cogs', 'tech', 'tool']","[{'name': 'Fra. INV-149685 Cognism Ltd', 'desc': 'Fra. INV-149685 Cognism Ltd', 'price': 860.5499998103348, 'units': 1, 'projectid': None, 'tax': -21, 'taxes': ['p_iva_invsuj'], 'tags': ['cogs', 'tech', 'tool'], 'discount': 0, 'retention': 0, 'weight': 0, 'costPrice': 0, 'sku': 0, 'account': '6694dc01140acf9e000425c2'}]",0.0,860.55,0,860.55,,1,[],INV-149685,usd,1.162047528,"[{'id': '68837639709511006c079cb0', 'amount': 860.38, 'date': 1752710400, 'bankId': '6697ee29ecc2d0d7aa0e0db5'}, {'id': '6883935fa7f0d9042704216d', 'amount': 0.17, 'date': 1752703200, 'bankId': '67d965eb584bef22340ee625'}]",860.55,0.0,0,,,,
